0,36
1,35
2,32
3,87
4,21
5,22
6,25
7,34
8,31
9,23
10,28
11,24
12,24
13,22
14,23
15,24
16,21
17,27
18,24
19,23
20,23
21,27
22,28
23,26
24,24
25,26
26,24
27,32
28,23
29,26
30,26
31,23
32,26
33,21
34,24
35,21
36,28
37,26
38,22
39,22
40,18
41,21
42,22
43,25
44,27
45,21
46,26
47,26
48,21
49,23
50,28
51,20
52,31
53,20
54,26
55,25
56,23
57,29
58,22
59,23
60,20
61,25
62,24
63,22
64,22
65,24
66,33
67,23
68,25
69,24
70,27
71,21
72,22
73,28
74,22
75,29
76,23
77,25
78,30
79,30
80,26
81,43
82,31
83,28
84,22
85,25
86,24
87,23
88,21
89,25
90,24
91,25
92,23
93,25
94,21
95,24
96,38
97,35
98,24
99,25
100,32
101,36
102,32
103,34
104,24
105,24
106,31
107,26
108,26
109,24
110,23
111,24
112,28
113,28
114,24
115,26
116,24
117,23
118,35
119,30
120,46
121,44
122,43
123,25
124,33
125,21
126,25
127,24
128,27
,26.62015504
